tActual,tInside,tOutside,tSuitable
19,20,4,19
17,18,3,22
16,16,2,22
14,15,2,23
17,16,1,21
11,12,1,22
10,11,0,22
11,10,1,23
10,9,4,23
9,10,6,21
10,11,9,21
12,12,10,21
13,13,10,22
15,14,11,23
15,15,11,22
16,16,11,22
16,16,10,21
16,16,10,21
16,16,8,23
14,15,8,22
14,14,7,21
14,14,6,22
12,13,5,22
11,12,4,21
23,23,4,18
20,20,3,19
18,19,2,19
16,17,2,22
22,22,1,19
14,15,1,22
16,16,0,21
18,18,1,19
20,19,4,20
19,20,6,21
19,19,9,19
18,18,10,21
15,16,10,21
18,18,11,20
20,19,11,20
17,18,11,23
19,19,10,19
23,22,10,17
21,21,8,20
20,21,8,19
21,20,7,19
19,19,6,19
19,18,5,20
19,20,4,20
